geometry,pipeline,q,standardize,classifier,cv_accuracy,cv_acc_std,cv_precision,cv_recall,cv_auc,cv_runtime_s,ho_accuracy,ho_precision,ho_recall,ho_auc,ho_runtime_s
BW,C-UMAP,20.0,False,knn,0.8259296890875838,0.023534125775585724,0.8403142127237102,0.825866865375062,0.9498726598551732,4660.402316093445,0.8555399719495091,0.8645934386256925,0.855580853255272,0.9605539732844545,1526.4558444023132
BW,C-UMAP,20.0,True,knn,0.875535234482603,0.016091927201170007,0.8839859379052756,0.8754595131644312,0.9638142877865651,4439.718330860138,0.8870967741935484,0.8926647705376403,0.8871035940803383,0.9657326970507207,1182.7663588523865
BW,A-Full,,False,lr,0.9389640768588137,0.004123837411730009,0.9404789461299771,0.9388971684053651,0.9969217474270418,4700.065474748611,0.9326788218793829,0.932999381126713,0.9326882419905675,0.9974879738924898,1516.1204500198364
BW,A-Full,,True,lr,0.9786515839147418,0.005973765319935975,0.9789431143903405,0.9786636860407352,0.9993053955447451,3479.548275947571,0.9789621318373072,0.979375040214027,0.9789613487287906,0.9995711865206466,928.5847251415253
BW,B-PCA,5.0,False,lr,0.5111332385016596,0.015892982036139515,0.49122686001054056,0.5110879284649777,0.9104034059134646,4670.553893327713,0.5189340813464236,0.5062521675638076,0.5192063750203286,0.912253855722721,1447.1657447814941
BW,B-PCA,5.0,True,lr,0.6100535121587753,0.026454513736786454,0.6048095951511773,0.6098509687034277,0.9377409814173638,3354.0868175029755,0.603085553997195,0.597612551559531,0.6033772429121266,0.9331662482376637,883.0440044403076
BW,B-PCA,10.0,False,lr,0.6900241594978438,0.016795991884422254,0.6904403224678123,0.6899403874813711,0.9552542079688822,4212.470118522644,0.6893408134642356,0.6892798056779097,0.6894671220252615,0.9557759447189362,973.2849998474121
BW,B-PCA,10.0,True,lr,0.7567680462417304,0.00656154376808462,0.7588104464915524,0.7566964729259811,0.9717726336766035,3446.800789117813,0.7503506311360448,0.7516205773108972,0.750577329647097,0.969954611229385,914.0730364322662
BW,B-PCA,20.0,False,lr,0.8262186999029104,0.010598563298313107,0.8284062082032932,0.8261649279682068,0.9845137081701344,4388.335147857666,0.8436185133239832,0.843265076912159,0.843671057624546,0.9862466304002527,1582.5276572704315
BW,B-PCA,20.0,True,lr,0.8659016911648492,0.007743560814666793,0.8677050946489409,0.8658618976651763,0.9897142573701387,3555.981281518936,0.8653576437587658,0.8661013454633679,0.8654361142733236,0.9889722485068483,947.5732917785645
BW,C-UMAP,5.0,False,lr,0.7288026372236899,0.023470310787001143,0.7408601156215806,0.7286338797814207,0.957241328572662,4814.92943072319,0.7784011220196353,0.7925672088188684,0.7785547785547785,0.9663518312948198,1583.2092764377594
BW,C-UMAP,5.0,True,lr,0.7916597800808327,0.030400803289715828,0.7981141984205277,0.7915598609041231,0.9717739843164088,3509.7281382083893,0.82328190743338,0.8298195578480058,0.8233859164091722,0.9790128720855489,957.55695271492
BW,C-UMAP,10.0,False,lr,0.751354512407144,0.014877713769473831,0.7652320723334268,0.7512916045702931,0.9651974717023872,4905.8742146492,0.800140252454418,0.8123301780867426,0.8002547839757141,0.9730585503674711,1888.119069814682
BW,C-UMAP,10.0,True,lr,0.8163038226196122,0.016763401865968627,0.8265291737016971,0.8163040238450074,0.9789284500310302,3542.234857559204,0.8253856942496494,0.8321306566265935,0.8254838185070743,0.9818013289239,923.087877035141
BW,C-UMAP,20.0,False,lr,0.7733003680372101,0.02157929262513931,0.7917540356895456,0.7732439145553899,0.9689933363958657,4675.795251607895,0.802945301542777,0.8186995078349291,0.8030574077085704,0.9755669661073006,1546.3625972270966
BW,C-UMAP,20.0,True,lr,0.8178048725417147,0.012321317345043829,0.8284764584496458,0.8177347242921013,0.9800553440554516,3927.4126567840576,0.8338008415147266,0.8400085366403822,0.8338700059630292,0.9831448541545783,1023.7117216587067
